 CaseName (Patient Code) ,  timestamp (i) ; seconds from 1st Midnight ,  timestamp (i) ; hours from 1st Midnight ,   RR(i) msec   ,   QT(i) msec   ,    CODE of class. of beat (i)    ,  NAME of class. of beat (i)  ,  used ECG channel# = 1 / I ; epoch length (sec) =  900 ; analysis date = 18-Jun-2025 ; BaseQTprogramVer = 20171130DF_types1-16_DeepFork ; Data File Format Type (Source) = EPS Prucka+GE
07-15-37_8_hours_part1_v2 , 2.63410050000e+04 , 7.31694583333e+00 , 7.0600000e+02 , 4.0449375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63417110000e+04 , 7.31714194444e+00 , 7.0200000e+02 , 4.0303969e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63424130000e+04 , 7.31733694444e+00 , 6.8200000e+02 , 3.9999937e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63430950000e+04 , 7.31752638889e+00 , 6.6900000e+02 , 4.4348906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63437640000e+04 , 7.31771222222e+00 , 6.5900000e+02 , 3.9021750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63444230000e+04 , 7.31789527778e+00 , 6.6300000e+02 , 3.9894187e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63450860000e+04 , 7.31807944444e+00 , 6.4600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63457320000e+04 , 7.31825888889e+00 , 6.5600000e+02 , 3.9656250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63463880000e+04 , 7.31844111111e+00 , 6.7000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63470580000e+04 , 7.31862722222e+00 , 6.8200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63477400000e+04 , 7.31881666667e+00 , 7.0200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63484420000e+04 , 7.31901166667e+00 , 6.9500000e+02 , 3.7422281e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63491370000e+04 , 7.31920472222e+00 , 6.9600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63498330000e+04 , 7.31939805556e+00 , 7.0900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63505420000e+04 , 7.31959500000e+00 , 7.1600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63512580000e+04 , 7.31979388889e+00 , 7.1200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63519700000e+04 , 7.31999166667e+00 , 6.9000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63526600000e+04 , 7.32018333333e+00 , 7.0500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63533650000e+04 , 7.32037916667e+00 , 7.1900000e+02 , 4.0713750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63540840000e+04 , 7.32057888889e+00 , 7.1500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63547990000e+04 , 7.32077750000e+00 , 7.0500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63555040000e+04 , 7.32097333333e+00 , 7.1900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63562230000e+04 , 7.32117305556e+00 , 7.3100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63569540000e+04 , 7.32137611111e+00 , 7.2900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63576830000e+04 , 7.32157861111e+00 , 7.1600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63583990000e+04 , 7.32177750000e+00 , 7.2200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63591210000e+04 , 7.32197805556e+00 , 7.0500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63598260000e+04 , 7.32217388889e+00 , 7.0100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63605270000e+04 , 7.32236861111e+00 , 7.2300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63612500000e+04 , 7.32256944444e+00 , 7.2900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63619790000e+04 , 7.32277194444e+00 , 7.1400000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63626930000e+04 , 7.32297027778e+00 , 7.0200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63633950000e+04 , 7.32316527778e+00 , 6.9300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63640880000e+04 , 7.32335777778e+00 , 6.7400000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63647620000e+04 , 7.32354500000e+00 , 6.8200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63654440000e+04 , 7.32373444444e+00 , 6.8500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63661290000e+04 , 7.32392472222e+00 , 6.8800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63668170000e+04 , 7.32411583333e+00 , 6.9200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63675090000e+04 , 7.32430805556e+00 , 7.0500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63682140000e+04 , 7.32450388889e+00 , 7.0900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63689230000e+04 , 7.32470083333e+00 , 7.0100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63696240000e+04 , 7.32489555556e+00 , 7.1000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63703340000e+04 , 7.32509277778e+00 , 7.0300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63710370000e+04 , 7.32528805556e+00 , 7.0200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63717390000e+04 , 7.32548305556e+00 , 7.1600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63724550000e+04 , 7.32568194444e+00 , 7.2100000e+02 , 3.9841312e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63731760000e+04 , 7.32588222222e+00 , 7.2400000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63739000000e+04 , 7.32608333333e+00 , 7.4500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63746450000e+04 , 7.32629027778e+00 , 7.3500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63753800000e+04 , 7.32649444444e+00 , 7.3300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63761130000e+04 , 7.32669805556e+00 , 7.4200000e+02 , 4.0092469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63768550000e+04 , 7.32690416667e+00 , 7.4100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63775960000e+04 , 7.32711000000e+00 , 7.4300000e+02 , 4.0766625e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63783390000e+04 , 7.32731638889e+00 , 7.6000000e+02 , 3.9788437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63790990000e+04 , 7.32752750000e+00 , 7.5300000e+02 , 3.9867750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63798520000e+04 , 7.32773666667e+00 , 7.4900000e+02 , 4.0370063e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63806010000e+04 , 7.32794472222e+00 , 7.4400000e+02 , 4.0898813e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63813450000e+04 , 7.32815138889e+00 , 7.4100000e+02 , 3.9233250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63820860000e+04 , 7.32835722222e+00 , 7.2000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63828060000e+04 , 7.32855722222e+00 , 7.1600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63835220000e+04 , 7.32875611111e+00 , 7.0900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63842310000e+04 , 7.32895305556e+00 , 7.0200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63849330000e+04 , 7.32914805556e+00 , 6.8000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63856130000e+04 , 7.32933694444e+00 , 6.6600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63862790000e+04 , 7.32952194444e+00 , 6.2000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63868990000e+04 , 7.32969416667e+00 , 6.7800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63875770000e+04 , 7.32988250000e+00 , 6.4200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63882190000e+04 , 7.33006083333e+00 , 6.4100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63888600000e+04 , 7.33023888889e+00 , 6.4600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63895060000e+04 , 7.33041833333e+00 , 6.5000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63901560000e+04 , 7.33059888889e+00 , 6.4600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63908020000e+04 , 7.33077833333e+00 , 6.4700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63914490000e+04 , 7.33095805556e+00 , 1.2700000e+03 ,  , -3.000 , PVC_L , 
07-15-37_8_hours_part1_v2 , 2.63927190000e+04 , 7.33131083333e+00 , 6.3500000e+02 ,  , -5.000 , QT_outOR1postPVC , 
07-15-37_8_hours_part1_v2 , 2.63933540000e+04 , 7.33148722222e+00 , 6.3600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.63939900000e+04 , 7.33166388889e+00 , 6.3400000e+02 , 3.9008531e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63946240000e+04 , 7.33184000000e+00 , 6.4500000e+02 , 3.9021750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63952690000e+04 , 7.33201916667e+00 , 6.5500000e+02 , 3.9365437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63959240000e+04 , 7.33220111111e+00 , 6.7300000e+02 , 3.9695906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63965970000e+04 , 7.33238805556e+00 , 6.8000000e+02 , 3.9709125e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63972770000e+04 , 7.33257694444e+00 , 7.0700000e+02 , 3.7686656e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63979840000e+04 , 7.33277333333e+00 , 7.1300000e+02 , 3.8902781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63986970000e+04 , 7.33297138889e+00 , 7.4500000e+02 , 3.8347594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.63994420000e+04 , 7.33317833333e+00 , 7.6900000e+02 , 3.9814875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64002110000e+04 , 7.33339194444e+00 , 7.7900000e+02 , 3.9933844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64009900000e+04 , 7.33360833333e+00 , 7.8500000e+02 , 3.9735562e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64017750000e+04 , 7.33382638889e+00 , 8.0600000e+02 , 4.0436156e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64025810000e+04 , 7.33405027778e+00 , 8.0200000e+02 , 3.9775219e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64033830000e+04 , 7.33427305556e+00 , 7.8200000e+02 , 3.8717719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64041650000e+04 , 7.33449027778e+00 , 7.7700000e+02 , 3.9748781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64049420000e+04 , 7.33470611111e+00 , 7.5000000e+02 , 3.7699875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64056920000e+04 , 7.33491444444e+00 , 7.1000000e+02 , 3.9405094e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64064020000e+04 , 7.33511166667e+00 , 7.0000000e+02 , 3.8849906e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64071020000e+04 , 7.33530611111e+00 , 6.7100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64077730000e+04 , 7.33549250000e+00 , 6.4800000e+02 , 3.9550500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64084210000e+04 , 7.33567250000e+00 , 6.4900000e+02 , 3.9365437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64090700000e+04 , 7.33585277778e+00 , 6.8100000e+02 , 3.9616594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64097510000e+04 , 7.33604194444e+00 , 6.9400000e+02 , 3.9973500e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64104450000e+04 , 7.33623472222e+00 , 7.3300000e+02 , 3.9180375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64111780000e+04 , 7.33643833333e+00 , 7.8500000e+02 , 4.1625844e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64119630000e+04 , 7.33665638889e+00 , 7.8700000e+02 , 4.0898813e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64127500000e+04 , 7.33687500000e+00 , 8.2200000e+02 , 3.8545875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64135720000e+04 , 7.33710333333e+00 , 8.0700000e+02 , 3.7528031e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64143790000e+04 , 7.33732750000e+00 , 8.1900000e+02 , 4.0594781e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64151980000e+04 , 7.33755500000e+00 , 8.0100000e+02 , 3.9682687e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64159990000e+04 , 7.33777750000e+00 , 8.1400000e+02 , 4.0475812e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64168130000e+04 , 7.33800361111e+00 , 8.3000000e+02 , 3.7964250e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64176430000e+04 , 7.33823416667e+00 , 7.9500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64184380000e+04 , 7.33845500000e+00 , 7.9500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64192330000e+04 , 7.33867583333e+00 , 8.3100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64200640000e+04 , 7.33890666667e+00 , 7.1000000e+02 ,  , -5.000 , QT_outOR1postPVC , 
07-15-37_8_hours_part1_v2 , 2.64207740000e+04 , 7.33910388889e+00 , 7.7100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64215450000e+04 , 7.33931805556e+00 , 7.6900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64223140000e+04 , 7.33953166667e+00 , 7.5800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64230720000e+04 , 7.33974222222e+00 , 7.5200000e+02 , 4.1176406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64238240000e+04 , 7.33995111111e+00 , 7.5200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64245760000e+04 , 7.34016000000e+00 , 7.3300000e+02 , 4.0026375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64253090000e+04 , 7.34036361111e+00 , 7.4300000e+02 , 4.0859156e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64260520000e+04 , 7.34057000000e+00 , 7.5800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64268100000e+04 , 7.34078055556e+00 , 7.3800000e+02 , 4.2379312e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64275480000e+04 , 7.34098555556e+00 , 7.5800000e+02 , 3.9775219e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64283060000e+04 , 7.34119611111e+00 , 7.5800000e+02 , 4.2868406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64290640000e+04 , 7.34140666667e+00 , 7.4900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64298130000e+04 , 7.34161472222e+00 , 7.4000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64305530000e+04 , 7.34182027778e+00 , 7.2400000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64312770000e+04 , 7.34202138889e+00 , 7.2400000e+02 , 3.9365437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64320010000e+04 , 7.34222250000e+00 , 7.1500000e+02 , 3.7937812e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64327160000e+04 , 7.34242111111e+00 , 7.1700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64334330000e+04 , 7.34262027778e+00 , 7.0700000e+02 , 4.0039594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64341400000e+04 , 7.34281666667e+00 , 7.0100000e+02 , 3.8876344e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64348410000e+04 , 7.34301138889e+00 , 7.1500000e+02 , 4.0039594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64355560000e+04 , 7.34321000000e+00 , 7.3100000e+02 , 3.9894187e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64362870000e+04 , 7.34341305556e+00 , 7.3600000e+02 , 3.9907406e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64370230000e+04 , 7.34361750000e+00 , 7.3600000e+02 , 4.0436156e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64377590000e+04 , 7.34382194444e+00 , 7.3400000e+02 , 4.0039594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64384930000e+04 , 7.34402583333e+00 , 7.5100000e+02 , 4.0409719e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64392440000e+04 , 7.34423444444e+00 , 7.3700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64399810000e+04 , 7.34443916667e+00 , 7.3900000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64407200000e+04 , 7.34464444444e+00 , 7.3000000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64414500000e+04 , 7.34484722222e+00 , 7.1700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64421670000e+04 , 7.34504638889e+00 , 7.1700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64428840000e+04 , 7.34524555556e+00 , 6.8800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64435720000e+04 , 7.34543666667e+00 , 6.7700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64442490000e+04 , 7.34562472222e+00 , 6.6600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64449150000e+04 , 7.34580972222e+00 , 6.7300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64455880000e+04 , 7.34599666667e+00 , 6.7800000e+02 , 4.0713750e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64462660000e+04 , 7.34618500000e+00 , 6.6900000e+02 , 4.1057437e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64469350000e+04 , 7.34637083333e+00 , 6.8800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64476230000e+04 , 7.34656194444e+00 , 2.0440000e+03 ,  , -3.000 , PVC_L , 
07-15-37_8_hours_part1_v2 , 2.64496670000e+04 , 7.34712972222e+00 , 6.8200000e+02 ,  , -5.000 , QT_outOR1postPVC , 
07-15-37_8_hours_part1_v2 , 2.64503490000e+04 , 7.34731916667e+00 , 6.8400000e+02 , 4.2485062e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64510330000e+04 , 7.34750916667e+00 , 6.7200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64517050000e+04 , 7.34769583333e+00 , 6.8300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64523880000e+04 , 7.34788555556e+00 , 6.8800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64530760000e+04 , 7.34807666667e+00 , 7.0000000e+02 , 3.9101063e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64537760000e+04 , 7.34827111111e+00 , 7.1200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64544880000e+04 , 7.34846888889e+00 , 7.2500000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64552130000e+04 , 7.34867027778e+00 , 7.4600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64559590000e+04 , 7.34887750000e+00 , 7.3800000e+02 , 3.9669469e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64566970000e+04 , 7.34908250000e+00 , 7.3800000e+02 , 3.9206812e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64574350000e+04 , 7.34928750000e+00 , 7.5100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64581860000e+04 , 7.34949611111e+00 , 7.5900000e+02 , 4.0621219e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64589450000e+04 , 7.34970694444e+00 , 7.4400000e+02 , 4.1506875e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64596890000e+04 , 7.34991361111e+00 , 7.4700000e+02 , 4.0105687e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64604360000e+04 , 7.35012111111e+00 , 7.1800000e+02 , 4.0066031e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64611540000e+04 , 7.35032055556e+00 , 6.6800000e+02 , 4.0264312e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64618220000e+04 , 7.35050611111e+00 , 7.6400000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64625860000e+04 , 7.35071833333e+00 , 7.4200000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64633280000e+04 , 7.35092444444e+00 , 7.7500000e+02 , 4.0026375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64641030000e+04 , 7.35113972222e+00 , 7.8700000e+02 , 3.9431531e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64648900000e+04 , 7.35135833333e+00 , 7.8300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64656730000e+04 , 7.35157583333e+00 , 7.9800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64664710000e+04 , 7.35179750000e+00 , 8.1100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64672820000e+04 , 7.35202277778e+00 , 8.1300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64680950000e+04 , 7.35224861111e+00 , 7.9700000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64688920000e+04 , 7.35247000000e+00 , 7.8200000e+02 , 4.0608000e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64696740000e+04 , 7.35268722222e+00 , 7.9800000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64704720000e+04 , 7.35290888889e+00 , 8.0300000e+02 , 4.0251094e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64712750000e+04 , 7.35313194444e+00 , 7.9000000e+02 , 4.0039594e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64720650000e+04 , 7.35335138889e+00 , 7.5600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64728210000e+04 , 7.35356138889e+00 , 7.6400000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64735850000e+04 , 7.35377361111e+00 , 7.8200000e+02 , 4.0581563e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64743670000e+04 , 7.35399083333e+00 , 7.7100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64751380000e+04 , 7.35420500000e+00 , 7.7100000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64759090000e+04 , 7.35441916667e+00 , 7.8300000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64766920000e+04 , 7.35463666667e+00 , 7.8500000e+02 , 4.0872375e+02 , 1.000 , allOK , 
07-15-37_8_hours_part1_v2 , 2.64774770000e+04 , 7.35485472222e+00 , 7.5600000e+02 ,  , -6.000 , QT_noisy , 
07-15-37_8_hours_part1_v2 , 2.64782330000e+04 , 7.35506472222e+00 , 1.5080000e+03 ,  , -5.000 , QT_outOR1postPVC , 
